id,ref_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
1,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 6 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.006,0.204,
2,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.01,0.216,
3,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.014,0.094,
4,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 1 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.031,0.146,
5,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 3/4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.04,0.206,
6,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 2 inches, , 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.088,0.112,
7,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 1 inches, , 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.148,0.031,
8,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 3/4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.153,0.099,
9,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 4 inches,40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.021,0.049,
10,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.077,0.17,
11,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.079,0.105,
12,YUA-2012-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.059,0.102,
13,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.0891,0.2907,
14,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.1195,0.2686,
15,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.2174,0.2591,
16,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.2987,0.2543,
17,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.0642,0.3129,
18,TAO-2019-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.0964,0.3979,
19,ELL-2004-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"⅛-inch diameter galvanized 7 x 19 (number of strands x wires per strand) aircraft-grade steel with a specified minimum break strength of 1700 pounds,
The cable support was threaded, and a screw was clamped on top.","Nevada, Reno",tensile force,kips,,failed at the clamped portion of the cable,1.471,0.154,
20,ELL-2004-EXP,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,5/8 in dia rods - pipe hangers,"Nevada, Reno",tensile force,kips,,Load drops to zero,19.16,0.022,
21,SIA-2013-ANA,Jitendra,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,gauge 12 wire restrainers,"Nevada, Reno",tensile force,kips,,Load drops to zero,0.596,0.063,
22,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.37,0.51,
23,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",1.27,0.28,
24,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.78,0.35,
25,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.7,0.39,
