osp_id,reviewer,category,manufacturer,year,test_id,building_code,test_criteria,weight_lbs,a_flx_h,a_rig_h,a_flx_v,a_rig_v,url,notes
OSP-0128,Eric Fagan,Chiller - Air Cooled,Trane,2021,UUT-1,CBC 2019,ICC-ES AC156,2111,2.96,2.22,1.85,0.74,https://hcai.ca.gov/wp-content/uploads/2020/10/OSP-0128-2.pdf,
OSP-0128,Eric Fagan,Chiller - Air Cooled,Trane,2021,UUT-2,CBC 2019,ICC-ES AC156,6500,2.96,2.22,1.85,0.74,https://hcai.ca.gov/wp-content/uploads/2020/10/OSP-0128-2.pdf,
OSP-0373,Eric Fagan,Chiller - Absorption Chiller,BasX,2014,UUT-1,CBC 2013,ICC-ES AC 156,19731,3.52,2.64,1.71,1.68,https://hcai.ca.gov/document/OSP-0373/,
OSP-0478,Eric Fagan,Chiller - Absorption Chiller,Sigler,2016,UUT-1,CBC 2016,ICC-ES AC156,8880,1.3,0.52,0.87,0.35,https://hcai.ca.gov/document/OSP-0478/,
OSP-0391,Eric Fagan,Chiller - Air Cooled,Daikin Applied,2018,UUT-4,CBC 2016,ICC-ES AC156,10150,1.01,0.76,0.53,0.21,https://hcai.ca.gov/document/OSP-0391/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-1,CBC 2019,ICC-ES AC156,685,3.36,2.52,1.41,0.57,https://hcai.ca.gov/document/OSP-0169/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-2,CBC 2019,ICC-ES AC156,685,3.36,2.52,1.41,0.57,https://hcai.ca.gov/document/OSP-0169/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-3,CBC 2019,ICC-ES AC156,3000,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0169/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-3,CBC 2019,ICC-ES AC156,3000,2.5,1.04,1.68,0.65,https://hcai.ca.gov/document/OSP-0169/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-4,CBC 2019,ICC-ES AC156,3000,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0169/,
OSP-0169,Eric Fagan,Chiller - Water Cooled,Dimplex,2021,UUT-4,CBC 2019,ICC-ES AC156,3000,2.5,1.04,1.68,0.68,https://hcai.ca.gov/document/OSP-0169/,
