id,reference_id,specimen,reviewer,nistir_id,p58_db,p58_fragility,comp_type,sub_type,connection_detail,material_class,size_class,test_type,loading_protocol,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,ds_intensity,ds_intensity_unit,ds_intensity_alt,ds_intensity_unit_alt,ds_rank,ds_class,notes
exp1001a,LEE-2007-SEI,Specimen No.1 ,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Crushing of gypsum board at a corner.,No prior damage,,0.015,drift,,,,Inconsequential,
exp1002a,LEE-2007-SEI,Specimen No.1 ,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Joint cracks at vertical intersection of gypsum boards,Crushing of gypsum board at a corner.,,0.02,drift,,,,Inconsequential,
exp1003a,LEE-2007-SEI,Specimen No.1 ,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Out of plane deformation of gypsum boards at upper corners,Joint cracks at vertical intersection of gypsum boards,,0.04,drift,,,,Consequential,
exp1004a,LEE-2007-SEI,Specimen No.1 ,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Cracks in gypsum board,Out of plane deformation of gypsum boards at upper corners,,0.1,drift,,,,Consequential,
exp1005a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Small diagonal gypsum cracks in corners above door,No prior damage,,0.005,drift,,,,Inconsequential,
exp1006a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Crushing of gypsum board at a corner.,Small diagonal gypsum cracks in corners above door,,0.01,drift,,,,Consequential,
exp1007a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Large vertical cracks in gypsum board above door,Crushing of gypsum board at a corner.,,0.01,drift,,,,Consequential,
exp1008a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Temoorary dorr jammed and recovered after reaching original position,Large vertical cracks in gypsum board above door,,0.01,drift,,,,Inconsequential,
exp1009a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",broken door lock and permanent jammed door,Temoorary dorr jammed and recovered after reaching original position,,0.02,drift,,,,Consequential,
exp1010a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Out of plane deformation of gypsum board at lower interior corner next to door,broken door lock and permanent jammed door,,0.04,drift,,,,Consequential,
