id,reference_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
fra1001a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 6 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.006,0.204,
fra1002a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.01,0.216,
fra1003a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.014,0.094,
fra1004a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 1 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.031,0.146,
fra1005a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Black Iron with Threaded Joints - Pipe size 3/4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.04,0.206,
fra1006a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 2 inches, , 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.088,0.112,
fra1007a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 1 inches, , 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.148,0.031,
fra1008a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- CPVC with Cement Joint - Pipe size 3/4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.153,0.099,
fra1009a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 4 inches,40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.021,0.049,
fra1010a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 40 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.077,0.17,
