id,frag_id,exp_id
1,fra1225a,exp1001a
2,fra1226a,exp1001a
3,fra1225a,exp1002a
4,fra1226a,exp1002a
5,fra1225a,exp1003a
6,fra1226a,exp1003a
7,fra1225a,exp1004a
8,fra1226a,exp1004a
9,fra1225a,exp1005a
10,fra1226a,exp1005a
11,fra1225a,exp1006a
12,fra1226a,exp1006a
13,fra1225a,exp1007a
14,fra1226a,exp1007a
15,fra1225a,exp1008a
16,fra1226a,exp1008a
17,fra1225a,exp1009a
18,fra1226a,exp1009a
19,fra1225a,exp1010a
20,fra1226a,exp1010a
21,fra1225a,exp1011a
22,fra1226a,exp1011a
23,fra1225a,exp1012a
24,fra1226a,exp1012a
25,fra1225a,exp1013a
26,fra1226a,exp1013a
27,fra1225a,exp1014a
28,fra1226a,exp1014a
29,fra1225a,exp1015a
30,fra1226a,exp1015a
31,fra1225a,exp1016a
32,fra1226a,exp1016a
33,fra1225a,exp1017a
34,fra1226a,exp1017a
35,fra1225a,exp1018a
36,fra1226a,exp1018a
37,fra1225a,exp1019a
38,fra1226a,exp1019a
39,fra1225a,exp1020a
40,fra1226a,exp1020a
41,fra1233a,exp1274a
42,fra1234a,exp1274a
43,fra1235a,exp1274a
44,fra1239a,exp1274a
45,fra1240a,exp1274a
46,fra1241a,exp1274a
47,fra1257a,exp1274a
48,fra1258a,exp1274a
49,fra1259a,exp1274a
50,fra1233a,exp1275a
51,fra1234a,exp1275a
52,fra1235a,exp1275a
53,fra1239a,exp1275a
54,fra1240a,exp1275a
55,fra1241a,exp1275a
56,fra1257a,exp1275a
57,fra1258a,exp1275a
58,fra1259a,exp1275a
59,fra1233a,exp1276a
60,fra1234a,exp1276a
61,fra1235a,exp1276a
62,fra1239a,exp1276a
63,fra1240a,exp1276a
64,fra1241a,exp1276a
65,fra1257a,exp1276a
66,fra1258a,exp1276a
67,fra1259a,exp1276a
68,fra1233a,exp1277a
69,fra1234a,exp1277a
70,fra1235a,exp1277a
71,fra1239a,exp1277a
72,fra1240a,exp1277a
73,fra1241a,exp1277a
74,fra1257a,exp1277a
75,fra1258a,exp1277a
76,fra1259a,exp1277a
